Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery,DNP
"C1, C10",402,2,1uF,C52923
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",402,11,0.1uF,C1525
"C13, C14",603,2,10uF,C19702
"C15, C16",402,2,33pF,C1562
D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,DNP
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,DNP
"R1, R2",402,2,5.1K,C25905
"R3, R4",402,2,27,C25100
"R5, R6",402,2,1K,C11702
R7,402,1,10K,C25744
R8,603,1,470R,C114669
R9,603,1,2k,C22977
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,C720477
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23,1,MCP1700x-330xxTT,C9002
U3,SOT-23-5,1,MCP73831-2-OT,C14879
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,C2843335
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,C9002
