Designator,Mid X,Mid Y,Rotation,Layer
BT1,152.7048,-125.1712,180.0,top
C1,158.575,-106.525,45.0,top
C10,156.215,-117.24,270.0,top
C11,156.1,-106.42,90.0,top
C12,153.4,-103.545,90.0,top
C13,149.965,-90.78,180.0,top
C14,150.975,-96.55,180.0,top
C15,149.875,-119.4,270.0,top
C16,155.3,-119.1,90.0,top
C17,151.025,-101.95,180.0,top
C2,155.175,-117.23,270.0,top
C3,147.925,-112.83,180.0,top
C4,148.525,-108.0,180.0,top
C5,157.075,-106.75,90.0,top
C6,154.425,-103.55,90.0,top
C7,155.385,-102.81,90.0,top
C8,158.405,-108.175,0.0,top
C9,159.395,-112.58,0.0,top
D1,158.465,-91.69,0.0,bottom
J1,153.375,-84.6,180.0,top
J2,144.485,-107.6,0.0,top
J3,162.265,-107.6,0.0,top
J4,153.375,-131.49,90.0,top
R1,152.025,-90.99,270.0,top
R2,154.765,-90.92,270.0,top
R3,154.05,-106.09,270.0,top
R4,155.1,-106.09,270.0,top
R5,153.315,-116.91,180.0,top
R6,156.9,-99.25,0.0,top
R7,149.095,-101.97,0.0,top
R8,157.2514,-127.0254,0.0,top
R9,157.3276,-128.524,0.0,top
SW1,156.425,-95.85,270.0,top
U1,153.375,-111.6,90.0,top
U2,150.925,-93.65,270.0,top
U3,156.9212,-123.5569,180.0,top
U4,150.175,-103.925,0.0,top
Y1,152.525,-119.23,180.0,top
